airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,13062
Vistara,2019-06-03,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Indigo,2019-06-03,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,5883
Jet Airways,2019-06-06,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,10262
Jet Airways,2019-06-27,Delhi,Cochin,18:20:00,19:00:00,1480,2.0,No Info,14300
Indigo,2019-05-01,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,5644
Multiple Carriers,2019-05-09,Delhi,Cochin,08:00:00,19:15:00,675,1.0,In-flight meal not included,9871
Jet Airways,2019-03-18,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Multiple Carriers,2019-05-21,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No Info,8099
Indigo,2019-06-01,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,6206
Indigo,2019-05-15,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,13587
Air India,2019-06-01,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,9929
Air India,2019-05-15,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,8372
Jet Airways,2019-03-24,Mumbai,Hyderabad,02:55:00,04:25:00,90,0.0,No Info,5678
Air India,2019-03-01,Banglore,New Delhi,10:30:00,11:20:00,1490,1.0,No Info,11528
Air Asia,2019-06-12,Kolkata,Banglore,07:35:00,23:30:00,955,1.0,No Info,5192
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,09:15:00,725,1.0,No Info,14231
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,14571
Air India,2019-06-06,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,No Info,6528
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,In-flight meal not included,9663
Air India,2019-03-21,Delhi,Cochin,13:20:00,19:15:00,1795,2.0,No Info,8708
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,9663
Multiple Carriers,2019-05-15,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,8073
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,07:40:00,1200,1.0,No Info,16736
Jet Airways,2019-05-06,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,7064
Indigo,2019-04-09,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3943
Spicejet,2019-06-24,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2017
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,10:05:00,1655,1.0,In-flight meal not included,8586
Indigo,2019-03-27,Delhi,Cochin,04:45:00,21:00:00,975,1.0,No Info,7258
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,12898
Jet Airways,2019-06-06,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,In-flight meal not included,10844
Air India,2019-04-06,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,4697
Indigo,2019-03-21,Delhi,Cochin,10:45:00,15:30:00,285,1.0,No Info,6218
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,12:15:00,1475,1.0,In-flight meal not included,7832
Air Asia,2019-06-21,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4107
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,6883
Multiple Carriers,2019-03-21,Delhi,Cochin,07:00:00,13:20:00,380,1.0,No Info,9042
Indigo,2019-05-06,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Jet Airways,2019-06-01,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4050
Vistara,2019-03-21,Banglore,New Delhi,16:00:00,18:35:00,155,0.0,No Info,5613
Indigo,2019-04-21,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,In-flight meal not included,10703
Jet Airways,2019-06-15,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,15339
Jet Airways,2019-06-06,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Spicejet,2019-06-09,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,7594
Jet Airways,2019-05-09,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No Info,15554
Indigo,2019-06-27,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No Info,5894
Indigo,2019-05-01,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,4775
Indigo,2019-04-18,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,5644
Multiple Carriers,2019-06-24,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,13587
Air Asia,2019-06-24,Delhi,Cochin,16:45:00,06:35:00,830,1.0,No Info,6752
Multiple Carriers,2019-06-06,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,13587
Indigo,2019-06-24,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6442
Multiple Carriers,2019-05-18,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13727
Spicejet,2019-05-12,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4319
Air India,2019-06-24,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,12436
Vistara,2019-03-09,Banglore,New Delhi,11:30:00,14:10:00,160,0.0,No Info,9918
Air India,2019-05-27,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No Info,9719
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,22:55:00,435,1.0,No Info,12395
Air India,2019-06-12,Delhi,Cochin,13:05:00,09:25:00,1220,2.0,No Info,10975
Goair,2019-05-06,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,6296
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,22:40:00,1580,1.0,No Info,7927
Jet Airways,2019-03-21,Banglore,New Delhi,09:45:00,15:55:00,370,1.0,In-flight meal not included,7280
Air Asia,2019-06-12,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,6152
Air Asia,2019-06-06,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,6857
Indigo,2019-05-15,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5298
Air India,2019-04-24,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Jet Airways,2019-05-21,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No Info,16079
Multiple Carriers,2019-03-03,Delhi,Cochin,12:50:00,01:35:00,765,1.0,No Info,18192
Indigo,2019-06-24,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Indigo,2019-05-01,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,20:20:00,1290,1.0,No Info,25735
Multiple Carriers,2019-05-21,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,7888
Air India,2019-03-03,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,13442
Spicejet,2019-03-15,Mumbai,Hyderabad,13:10:00,14:30:00,80,0.0,No check-in baggage included,2385
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,19:50:00,1430,1.0,In-flight meal not included,7064
Multiple Carriers,2019-05-09,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,10197
Indigo,2019-06-06,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Indigo,2019-04-24,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,16:10:00,435,1.0,In-flight meal not included,7832
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,In-flight meal not included,9314
Jet Airways,2019-06-24,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,5769
Indigo,2019-05-15,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Vistara,2019-03-24,Kolkata,Banglore,20:20:00,22:55:00,1595,1.0,No Info,11682
Indigo,2019-06-18,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Multiple Carriers,2019-03-21,Delhi,Cochin,10:45:00,19:15:00,510,1.0,No Info,7154
Spicejet,2019-06-27,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3625
Multiple Carriers,2019-03-09,Delhi,Cochin,07:05:00,22:20:00,915,1.0,No Info,6916
Indigo,2019-04-01,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,3342
Air India,2019-05-15,Kolkata,Banglore,16:45:00,08:55:00,970,2.0,No Info,14960
Air India,2019-05-03,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6121
Indigo,2019-03-06,Delhi,Cochin,17:10:00,01:35:00,505,1.0,No Info,14871
Air India,2019-06-15,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10441
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,No Info,13941
Indigo,2019-06-09,Delhi,Cochin,06:50:00,16:10:00,560,1.0,No Info,6442
Spicejet,2019-04-01,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,3919
Goair,2019-04-06,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,5135
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,09:20:00,1155,1.0,No Info,14178
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,13:15:00,315,1.0,No Info,22270
Indigo,2019-06-27,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4990
Air India,2019-03-09,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,11622
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,20:45:00,1485,1.0,In-flight meal not included,7064
Jet Airways,2019-03-15,Banglore,New Delhi,05:50:00,12:20:00,390,1.0,In-flight meal not included,5853
Multiple Carriers,2019-05-21,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,7888
Spicejet,2019-06-18,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3971
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,485,2.0,In-flight meal not included,8367
Multiple Carriers,2019-03-06,Delhi,Cochin,06:00:00,15:30:00,570,1.0,No Info,15147
Spicejet,2019-03-24,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No Info,6309
Multiple Carriers,2019-05-18,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,7038
Air India,2019-06-09,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6961
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,20:45:00,1485,1.0,In-flight meal not included,10844
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,No Info,13941
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,In-flight meal not included,10539
Air India,2019-03-01,Banglore,New Delhi,11:05:00,22:10:00,665,2.0,Change airports,13576
Air Asia,2019-06-21,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3807
Air India,2019-05-15,Kolkata,Banglore,16:45:00,21:05:00,1700,1.0,No Info,7452
Multiple Carriers,2019-05-21,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,10197
Multiple Carriers,2019-06-27,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,14848
Jet Airways,2019-06-09,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Indigo,2019-03-03,Delhi,Cochin,15:00:00,01:35:00,635,1.0,No Info,14871
Jet Airways,2019-03-01,Banglore,New Delhi,07:00:00,21:20:00,860,1.0,No Info,27992
Jet Airways,2019-03-12,Banglore,New Delhi,21:25:00,12:25:00,900,1.0,No Info,13817
Indigo,2019-04-09,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,4268
Spicejet,2019-06-21,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Indigo,2019-03-03,Delhi,Cochin,08:35:00,21:20:00,765,2.0,No Info,8049
Indigo,2019-03-09,Banglore,New Delhi,10:30:00,13:20:00,170,0.0,No Info,6860
Indigo,2019-03-27,Delhi,Cochin,09:10:00,15:30:00,380,1.0,No Info,10141
Indigo,2019-04-27,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5796
Indigo,2019-06-03,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No Info,6442
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,In-flight meal not included,10539
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No Info,10953
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,15:05:00,1120,1.0,No Info,13067
Indigo,2019-06-24,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,6628
Air India,2019-05-15,Kolkata,Banglore,16:45:00,12:30:00,1185,2.0,No Info,14960
Air India,2019-03-12,Mumbai,Hyderabad,21:00:00,19:25:00,1345,1.0,No Info,10943
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,10703
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,No Info,8085
Vistara,2019-06-06,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No Info,9345
Jet Airways,2019-05-18,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,15554
Air India,2019-05-15,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No Info,8907
Goair,2019-06-01,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Indigo,2019-06-09,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,6093
Jet Airways,2019-04-09,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4544
Air Asia,2019-04-15,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,12:35:00,425,2.0,No Info,14441
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,07:40:00,1200,1.0,In-flight meal not included,7832
Spicejet,2019-04-09,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Goair,2019-05-27,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3419
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-27,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,7155
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,10844
Indigo,2019-04-09,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No Info,14151
Spicejet,2019-06-27,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2017
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,10844
Spicejet,2019-05-09,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No Info,4963
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,19:50:00,1640,1.0,In-flight meal not included,9663
Air India,2019-05-15,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,6094
Jet Airways,2019-05-21,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,12898
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,13029
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,15:30:00,570,1.0,No Info,7845
Multiple Carriers,2019-05-27,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,8837
Indigo,2019-05-12,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,3175
Multiple Carriers,2019-05-27,Delhi,Cochin,13:00:00,01:30:00,750,1.0,In-flight meal not included,6943
Multiple Carriers,2019-03-27,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,6076
Spicejet,2019-06-09,Kolkata,Banglore,08:35:00,17:15:00,520,1.0,No Info,6853
Indigo,2019-03-21,Delhi,Cochin,09:10:00,15:30:00,380,1.0,No Info,9709
Indigo,2019-05-27,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Multiple Carriers,2019-06-03,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,7618
Indigo,2019-03-27,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No Info,2754
Vistara,2019-03-24,Banglore,New Delhi,19:40:00,22:20:00,160,0.0,No Info,4563
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,10844
Air India,2019-03-15,Banglore,New Delhi,11:50:00,13:00:00,1510,1.0,No Info,8032
Indigo,2019-05-18,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3717
Jet Airways,2019-05-27,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,12898
Indigo,2019-03-09,Delhi,Cochin,04:45:00,21:00:00,975,1.0,No Info,10518
Air India,2019-06-09,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No Info,11642
Spicejet,2019-06-03,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3311
Air India,2019-05-24,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No Info,12592
Air Asia,2019-04-01,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No Info,5192
Jet Airways,2019-06-12,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,5769
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,10262
Air Asia,2019-04-21,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Air India,2019-05-18,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,8372
Multiple Carriers,2019-06-09,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,18485
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,No Info,14151
Indigo,2019-03-06,Delhi,Cochin,07:30:00,15:30:00,480,1.0,No Info,14871
Multiple Carriers,2019-03-03,Delhi,Cochin,07:30:00,18:50:00,680,1.0,No Info,15135
Air India,2019-03-03,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,9400
Air India,2019-03-12,Mumbai,Hyderabad,09:15:00,09:15:00,1440,1.0,No Info,8065
Indigo,2019-03-09,Banglore,New Delhi,19:30:00,00:40:00,310,1.0,No Info,7280
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,11:25:00,750,1.0,No Info,13817
Air India,2019-05-21,Delhi,Cochin,17:40:00,08:15:00,875,1.0,No Info,8151
Jet Airways,2019-03-06,Mumbai,Hyderabad,17:15:00,16:50:00,1415,2.0,No Info,22950
Air India,2019-05-21,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,6094
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,In-flight meal not included,9663
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,10844
Spicejet,2019-03-21,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,6356
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,13731
Spicejet,2019-03-09,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,No Info,5126
Jet Airways,2019-03-27,Delhi,Cochin,23:05:00,19:45:00,1240,1.0,In-flight meal not included,7438
Air India,2019-06-09,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,6587
Air Asia,2019-03-09,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,7652
Spicejet,2019-05-21,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Indigo,2019-03-09,Banglore,New Delhi,12:05:00,17:05:00,300,1.0,No Info,4588
Goair,2019-06-12,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,4959
Jet Airways,2019-06-09,Delhi,Cochin,11:45:00,04:25:00,1000,2.0,No Info,13882
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,10844
Indigo,2019-03-24,Chennai,Kolkata,05:15:00,07:35:00,140,0.0,No Info,4326
